Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,2058.90,2072.36,2046.04,2058.20,2058.20,2708700000
2015-01-05,2054.44,2054.44,2017.34,2020.58,2020.58,3799120000
2015-01-06,2022.15,2030.25,1992.44,2002.61,2002.61,4460110000
2015-01-07,2005.55,2029.61,2005.55,2025.90,2025.90,3805480000
2015-01-08,2030.61,2064.08,2030.61,2062.14,2062.14,3934010000
2015-01-09,2063.45,2064.43,2038.33,2044.81,2044.81,3364140000
2015-01-12,2046.13,2049.30,2022.58,2028.26,2028.26,3456460000
2015-01-13,2031.58,2056.93,2008.25,2023.03,2023.03,4107300000
2015-01-14,2018.40,2018.40,1988.44,2011.27,2011.27,4378680000
2015-01-15,2013.75,2021.35,1991.47,1992.67,1992.67,4276720000
2015-01-16,1992.25,2020.46,1988.12,2019.42,2019.42,4056410000
2015-01-20,2020.76,2028.94,2004.49,2022.55,2022.55,3944340000
2015-01-21,2020.19,2038.29,2012.04,2032.12,2032.12,3730070000
2015-01-22,2034.30,2064.62,2026.38,2063.15,2063.15,4176050000
2015-01-23,2062.98,2062.98,2050.54,2051.82,2051.82,3573560000
2015-01-26,2050.42,2057.62,2040.97,2057.09,2057.09,3465760000
2015-01-27,2047.86,2047.86,2019.91,2029.55,2029.55,3329810000
2015-01-28,2032.34,2042.49,2001.49,2002.16,2002.16,4067530000
2015-01-29,2002.45,2024.64,1989.18,2021.25,2021.25,4127140000
2015-01-30,2019.35,2023.32,1993.38,1994.99,1994.99,4568650000
2015-02-02,1996.67,2021.66,1980.90,2020.85,2020.85,4008330000
2015-02-03,2022.71,2050.30,2022.71,2050.03,2050.03,4615900000
2015-02-04,2048.86,2054.74,2036.72,2041.51,2041.51,4141920000
2015-02-05,2043.45,2063.55,2043.45,2062.52,2062.52,3821990000
2015-02-06,2062.28,2072.40,2049.97,2055.47,2055.47,4232970000
2015-02-09,2053.47,2056.16,2041.88,2046.74,2046.74,3549540000
2015-02-10,2049.38,2070.86,2048.62,2068.59,2068.59,3669850000
2015-02-11,2068.55,2073.48,2057.99,2068.53,2068.53,3596860000
2015-02-12,2069.98,2088.53,2069.98,2088.48,2088.48,3788350000
2015-02-13,2088.78,2097.03,2086.70,2096.99,2096.99,3527450000
2015-02-17,2096.47,2101.30,2089.80,2100.34,2100.34,3361750000
2015-02-18,2099.16,2100.23,2092.15,2099.68,2099.68,3370020000
2015-02-19,2099.25,2102.13,2090.79,2097.45,2097.45,3247100000
2015-02-20,2097.65,2110.61,2085.44,2110.30,2110.30,3281600000
2015-02-23,2109.83,2110.05,2103.00,2109.66,2109.66,3093680000
2015-02-24,2109.10,2117.94,2105.87,2115.48,2115.48,3199840000
2015-02-25,2115.30,2119.59,2109.89,2113.86,2113.86,3312340000
2015-02-26,2113.91,2113.91,2103.76,2110.74,2110.74,3408690000
2015-02-27,2110.88,2112.74,2103.75,2104.50,2104.50,3547380000
2015-03-02,2105.23,2117.52,2104.50,2117.39,2117.39,3409490000
2015-03-03,2115.76,2115.76,2098.26,2107.78,2107.78,3262300000
2015-03-04,2107.72,2107.72,2094.49,2098.53,2098.53,3421110000
2015-03-05,2098.54,2104.25,2095.22,2101.04,2101.04,3103030000
2015-03-06,2100.91,2100.91,2067.27,2071.26,2071.26,3853570000
2015-03-09,2072.25,2083.49,2072.21,2079.43,2079.43,3349090000
2015-03-10,2076.14,2076.14,2044.16,2044.16,2044.16,3668900000
2015-03-11,2044.69,2050.08,2039.69,2040.24,2040.24,3406570000
2015-03-12,2041.10,2066.41,2041.10,2065.95,2065.95,3405860000
2015-03-13,2064.56,2064.56,2041.17,2053.40,2053.40,3498560000
2015-03-16,2055.35,2081.41,2055.35,2081.19,2081.19,3295600000
2015-03-17,2080.59,2080.59,2065.08,2074.28,2074.28,3221840000
2015-03-18,2072.84,2106.85,2061.23,2099.50,2099.50,4128210000
2015-03-19,2098.69,2098.69,2085.56,2089.27,2089.27,3305220000
